"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"148","MADAGASCAR","SUB-SAHARAN AFRICA",145,3.695,3.621,3.769,0.27954,0.37109,0.07506
"149","TANZANIA","SUB-SAHARAN  AFRICA",146,3.666,3.561,3.771,0.47155,0.357,0.05099
"150","LIBERIA","SUB-SAHARAN AFRICA",147,3.622,3.463,3.781,0.10706,0.23165,0.04852
"151","GUINEA","SUB-SAHARAN  AFRICA",148,3.607,3.533,3.681,0.22415,0.18829,0.1192
"152","RWANDA","SUB-SAHARAN AFRICA",149,3.515,3.444,3.586,0.32846,0.31865,0.50521
"153","BENIN","SUB-SAHARAN  AFRICA",150,3.484,3.404,3.564,0.39499,0.21028,0.06681
"154","AFGHANISTAN","SOUTHERN ASIA",151,3.36,3.288,3.432,0.38227,0.17344,0.07112
"155","TOGO","SUB-SAHARAN AFRICA",152,3.303,3.192,3.414,0.28123,0.24811,0.11587
"156","SYRIA","MIDDLE EAST AND NORTHERN  AFRICA",153,3.069,2.936,3.202,0.74719,0.62994,0.17233
"157","BURUNDI","SUB-SAHARAN  AFRICA",154,2.905,2.732,3.078,0.06831,0.15747,0.09419
